563201,3,-19518,-16985,3279,27564,-3079,-16202
563223,3,-20098,-24761,3679,9539,-8404,-21703
563246,3,-23218,-16361,6647,-7810,-6315,-19392
563268,3,-21862,-13737,8179,-10256,-2808,-19401
563313,3,-22906,-10889,5531,-8056,-7297,-23632
563358,3,-29926,-16989,-1573,4621,-8537,-31644
563381,3,-32254,-17225,-857,9973,-3586,-32454
563403,3,-31426,-19377,1003,16363,-1184,-32454
563426,3,-32618,-24793,1807,19160,-3122,-32454
563447,3,31274,-27225,2859,16237,-5418,-32454
563470,3,31126,-30525,5303,10952,-6184,-32454
563492,3,31126,-29997,8419,4676,-3575,-32454
563515,3,31126,-29045,12435,2407,-5918,-32454
563537,3,31126,-29417,16431,2674,-15917,-32454
563560,3,31126,-22853,18959,10210,-17352,-32454
563605,3,31126,-1433,19679,32325,32690,-32454
563628,3,31126,155,7507,32325,32690,-32454
563650,3,31126,8963,-21449,-9903,32690,-32454
563672,3,-26370,15231,-19765,32326,-27279,-25669
563694,3,-11830,-32446,-11845,32326,-10356,-21558
563717,3,-610,-32446,-11465,-23639,2655,-21247
563739,3,7950,-32446,-8025,6232,5660,-13522
563762,3,10542,26031,-4521,-2405,3190,-402
563784,3,10054,20411,-3693,-12936,3789,8191
563807,3,11586,15307,-497,-10021,6576,9758
563829,3,14102,8551,1751,-943,5781,10123
563852,3,14926,-37,1771,3684,4235,9340
563897,3,14786,-6069,-1413,-3298,6176,4838
563919,3,14714,-4501,-317,-3816,7445,2021
563942,3,14946,-3029,1391,-3347,6898,608
563964,3,13830,-2273,739,-4817,7339,208
563987,3,12718,-2265,-893,-8107,9136,361
564009,3,10990,-189,-3577,-10442,11184,1380
564032,3,8298,811,-7021,-10958,14557,2392
564054,3,5766,-1041,-8961,-13205,19248,4153
564076,3,2974,-761,-7337,-17641,24061,6194
564099,3,66,-413,-5437,-20395,27871,9328
564121,3,-3806,-1793,-3897,-25528,31904,12282
564144,3,-7826,-2881,-2313,-32169,32689,16481
564189,3,-17278,-3381,6307,32326,32689,27248
564211,3,-20138,-3117,14151,32326,32689,-32455
564234,3,-24194,-4201,17759,32326,32689,-32455
564256,3,-27618,-9365,16951,32326,32689,-32455
564279,3,-26362,-10201,16715,32326,25842,-32455
564301,3,-29722,-17065,14303,32326,16240,-32455
564324,3,-29566,-28445,9855,32326,9839,-32455
564345,3,-27838,-32445,4679,32326,4046,-32455
564368,3,-26058,-30549,-4105,32326,-3915,-32455
564390,3,-27070,-12889,-5837,32326,-11786,-32455
564413,3,31126,-10741,-7397,-31059,-8906,-32455
564435,3,-25994,-22689,-5277,-7486,-7899,30423
564481,3,-23806,-23325,-6081,-11119,-24212,17001
564503,3,-25682,-16841,-7261,-16526,-18747,10321
564526,3,-22166,-11897,-7197,-18195,-14026,5669
564548,3,-20194,-8045,-6989,-17307,-12642,1887
564571,3,-19126,-4681,-7189,-13998,-11709,-349
564593,3,-19534,-3493,-6717,-9186,-9868,-1233
564616,3,-19146,-4865,-4185,-6535,-7322,-1132
564637,3,-21026,10755,-12417,15326,-2054,3538
564660,3,-17466,-4357,-9697,16091,-1629,-3240
564682,3,-18286,-2257,-6565,3594,-1575,527
564705,3,-18986,-2637,-2701,-1589,-1147,1510
564727,3,-17802,-4365,587,-3438,-133,910
564772,3,-16790,-4493,3207,-8291,-2127,-1040
564795,3,-16958,-2641,2695,-8690,-1286,-1036
564817,3,-16754,-1841,2855,-7261,882,-946
564840,3,-16202,-973,2551,-6483,2285,-595
564862,3,-16102,83,2399,-6614,2529,-116
