486763,1,-30220,-12163,-7081,16167,543,-22654
486785,1,30672,-17971,-15161,26679,5881,-32453
486807,1,30636,-23055,-20961,32313,18917,-32453
486830,1,30636,-23315,-24273,32313,32684,-32453
486852,1,30636,-17775,-17249,32313,32684,-32453
486897,1,30636,-26267,-3225,32313,32684,-32453
486920,1,-25360,-27731,599,32313,25828,-32453
486942,1,-31016,-31715,-2677,32313,9740,-32453
486965,1,30636,-32459,-6957,26186,4736,-32453
486987,1,30636,-25363,-8293,10534,5065,-32453
487009,1,30636,-15647,-8205,1725,9783,-32453
487031,1,30636,-5735,-5233,-1794,16708,-32453
487054,1,30636,1309,-3713,-5303,23653,-32453
487076,1,30636,11685,-605,-6366,32684,-32453
487099,1,30636,22317,4043,-1268,32684,-32453
487121,1,-26248,28761,12499,8103,32684,-32453
487144,1,-16240,28645,19891,17378,32684,-32453
487189,1,-1856,24357,25243,22318,24054,-25432
487212,1,-1900,23457,21251,15768,14096,-18782
487234,1,-3724,23585,16983,9214,10455,-10681
487256,1,-5644,23437,14479,7284,11739,-3405
487278,1,-6084,23217,16079,8964,12803,1296
487301,1,-5360,21585,18947,7966,12270,6692
487323,1,-10852,22465,22063,5100,10174,13840
487346,1,-18116,27189,27943,3442,7580,18941
487368,1,-22296,-32460,-32618,559,-1107,27108
487391,1,-32108,-32460,-32618,-5030,-19731,-32454
487413,1,30636,-32460,-32618,-13729,32685,-32454
487436,1,30636,-32460,-32618,-22873,32685,-32454
487481,1,30636,-32460,27523,-27564,32685,-32454
487502,1,30636,18321,-20505,-15135,32685,-32454
487525,1,30636,-23795,-32617,32314,32685,-32454
487547,1,30636,-20595,-20013,32314,32685,-32454
487570,1,30636,-3559,-32617,32314,32685,-32454
487592,1,30636,-19,-32617,-28950,-32188,-6635
487615,1,-27408,8565,-32617,20392,-14568,-28088
487638,1,-26628,18049,-21901,32313,-1133,-29824
487660,1,-22552,9969,-14713,32313,1847,-13099
487683,1,-21328,-3287,-12289,24868,7312,-1171
487728,1,-12652,-1735,-605,-10886,2880,-816
487772,1,-14400,5201,-1113,7209,-26911,8812
487794,1,-21184,2809,-5601,16487,32685,13626
487817,1,-30036,-1719,-8461,21553,32685,17834
487839,1,-30788,-6247,-9393,23148,-28157,19055
487862,1,-27440,-8415,-7345,17989,-20859,20027
487884,1,-30656,-7619,-7129,9599,-16741,21380
487907,1,-29864,-7463,-4853,3125,-13711,22241
487929,1,-26464,-5559,-3761,2408,-15304,21469
487952,1,-27800,-3207,-3097,7400,-16997,21476
487974,1,-29636,-3471,-2261,15267,-16854,22069
488019,1,-31568,-7587,171,27535,-15318,19828
488042,1,-30340,-10767,1543,27144,-14875,17316
488064,1,-29316,-12271,1683,24562,-16261,14223
488086,1,-28952,-14055,315,16591,-17495,12562
488109,1,-26948,-14395,-597,5993,-18107,10189
488131,1,-29468,-6251,-4261,6629,-18576,5304
488154,1,-29992,-4523,-11121,32313,-11333,585
488176,1,-19820,-27627,3823,32313,322,-11806
488199,1,-20220,-21299,-3653,7998,1382,-10732
488221,1,-18988,-3091,2199,-17936,2274,-6638
488244,1,-16000,3957,3431,-9590,347,-981
488266,1,-16096,1109,3295,-1803,-3401,1750
488311,1,-18164,-1071,1955,-6881,-1194,1464
488334,1,-18228,285,3023,-9262,1295,93
488356,1,-18020,2245,3827,-8615,2360,-1694
488379,1,-18108,3025,3543,-6005,2922,-2511
488401,1,-17176,2637,3755,-4494,2827,-2953
488424,1,-17760,2789,2479,-4322,2256,-3134
