79628,1,-26370,-18815,-649,32431,4488,-15133
79650,1,-30158,-19363,3719,32431,13747,-27337
79673,1,-31522,-21743,13483,32431,20655,-32429
79695,1,-26310,32697,-32685,32431,14553,-32429
79740,1,32602,32697,-32170,32431,-25382,-32429
79785,1,32602,32697,-32170,-12623,-26904,-32429
79808,1,32602,32697,-32170,-29286,-29417,-32429
79831,1,32602,-26899,30695,-26858,-23339,-32429
79853,1,32602,-19431,16999,-13336,-20757,-32429
79876,1,32602,-9427,7455,-1652,-17236,-32429
79897,1,32602,-4747,-1305,3900,-13866,-32429
79920,1,32602,8873,-5957,3029,-5799,-32429
79942,1,32602,19613,-6665,1894,5949,-32429
79965,1,-20574,25353,-4345,1804,18169,-32429
79987,1,-13254,32465,83,8403,29771,-32429
80010,1,-9954,32696,7463,17483,32670,-32429
80032,1,-5502,32696,14731,19806,32670,-25553
80077,1,-6022,32696,30123,-1119,32670,4291
80100,1,-8182,31549,-32170,-8422,23029,19359
80122,1,7030,32696,-32170,-7599,-19512,-32430
80145,1,-17454,32696,-32170,-6154,32671,-32430
80167,1,32602,32696,-32170,-6635,32671,-32430
80190,1,32602,25589,-32170,4567,32671,-32430
80212,1,32602,-9775,-32170,15669,32671,-32430
80235,1,32602,-19975,15415,-1692,32671,-32430
80258,1,32602,-10091,-6553,32432,32671,-32430
80280,1,32602,13741,-32169,32432,32671,-32430
80302,1,32602,32696,-32169,32432,32671,21884
80324,1,-13158,12189,-32169,32431,-6456,10547
80369,1,-17414,-15731,-19433,13039,12854,-29983
80392,1,-20662,-239,-9213,-7992,19291,-32429
80414,1,-16398,13653,-5185,-7214,21993,-32429
80437,1,-9138,18245,-1349,1740,16140,-21309
80459,1,-5258,11793,-1401,6875,1480,-1379
80482,1,-4654,3045,-4905,2623,-7274,5626
80504,1,-2890,-3459,-8557,-2724,-12120,1893
80527,1,-4110,-2219,-7869,-6906,-14975,-2276
80549,1,-10918,4097,-10125,-1874,-12626,-5110
80572,1,-7766,5801,-6213,7872,-10438,-2275
80617,1,-6114,573,-5625,24319,-17718,6267
80640,1,-7342,-1547,-5233,29147,-19646,8164
80662,1,-9854,-4447,-7553,31933,-24565,12057
80685,1,-13450,-7783,-8753,32431,-26742,19232
80706,1,-17198,-11695,-8477,32431,-23037,23078
80729,1,-20078,-14607,-6033,32431,-17128,24606
80751,1,-17950,-14491,-6269,24885,-15351,26353
80774,1,-19106,-13275,-5609,14214,-17695,30013
80796,1,-18678,-8775,-4929,13029,-16920,32331
80819,1,-23834,-7131,-1581,23097,-17372,32231
80886,1,32602,-5603,3827,32431,-25557,-32430
80909,1,32602,-5523,4251,32431,-23233,-32430
80931,1,32602,-14323,1523,32431,-18274,-32430
80954,1,32602,-24823,-1137,25941,-15022,-32430
80976,1,-28226,-29587,-5033,13430,-12080,27711
80999,1,-21270,-27139,-6633,5242,-9832,10875
81021,1,-19930,-17499,-6161,4524,-7449,-4854
81044,1,-20490,-9467,-4325,10184,-5704,-13384
81067,1,-20022,-6207,-2445,13944,-5403,-16684
81089,1,-19794,-4847,-685,12527,-5186,-17483
81111,1,-18014,-3003,843,7463,-5285,-17420
81133,1,-17174,-479,1295,2091,-5943,-16631
81156,1,-17582,1829,635,-2655,-5848,-12942
81178,1,-17142,2445,459,-5878,-4235,-7724
81201,1,-16010,1769,779,-7392,-1606,-4251
81223,1,-15514,1913,1755,-7599,412,-3370
81246,1,-16094,1317,2599,-7410,1486,-2328
81268,1,-16018,77,3455,-8157,2079,-1312
81291,1,-15782,-551,3863,-9132,1928,-1537
81313,1,-15606,189,4259,-9276,1027,-2642
81336,1,-16202,1361,3851,-8177,-226,-2561
81358,1,-15646,1593,2919,-6389,-1048,-1574
81381,1,-15446,2045,2235,-3768,-964,-1825
81403,1,-15770,2105,1883,-800,-449,-1500
81426,1,-15678,1001,1827,361,-75,-509
81448,1,-15686,141,1955,-34,177,254
81494,1,-15062,-211,2703,-685,266,688
81516,1,-15438,-479,2699,-29,-177,982
81539,1,-15826,-1203,2711,385,-482,1088
81560,1,-15658,-1759,2719,440,-586,521
81583,1,-15730,-1935,2891,504,-244,-262
81605,1,-15538,-1743,3039,419,-166,-837
