682176,4,-25638,-16693,-4098,5673,32675,-32428
682199,4,-17926,-15433,-2206,26168,29122,-32428
682221,4,-21750,-24841,-6470,32412,19206,-32428
682243,4,-22094,-32617,-7134,32412,24711,-32428
682265,4,-19490,-32617,-5642,32412,22970,-32428
682288,4,-14974,-32617,-2426,31667,15524,-32428
682310,4,-14150,-32617,-1190,26526,6016,-32428
682333,4,-18762,-32617,-2370,19811,-1380,-32428
682355,4,-20830,-32617,-2754,10665,-5028,-32428
682378,4,-22138,-32617,-414,1432,-6930,-32428
682400,4,-20370,-27237,4726,-7033,-8728,-32428
682423,4,-18006,-20925,11410,-14109,-13653,-32428
682445,4,-15718,-13129,17354,-17665,-17054,-32428
682468,4,-9330,-8749,23142,-22188,-22438,-32428
682490,4,-5046,-5521,25326,-29240,-32618,-32428
682513,4,-2982,-1289,25138,32413,32676,-32428
682535,4,-158,-701,28014,32413,32676,-27555
682558,4,-3118,5315,25450,32413,32676,-16371
682580,4,-5758,6407,22302,32413,32676,-9163
682603,4,-3622,3755,21310,32413,32676,-9736
682626,4,-9030,5311,18930,-31937,32676,-11058
682648,4,-10150,4107,19130,-28313,32676,-11596
682670,4,-10550,3095,19454,-26489,32676,-13215
682715,4,-15746,1583,15858,-16004,32676,-21013
682737,4,-18794,2347,11882,-8327,32676,-27294
682760,4,-20974,3295,4566,5248,32676,-32428
682782,4,-27290,1391,-7306,19666,32676,-32428
682805,4,31818,-2693,-28678,29853,-18013,-32428
682827,4,31818,-8593,-32170,28664,12633,-32428
682850,4,31818,-6777,-32170,27652,32675,-32428
682872,4,31818,-6161,-32170,32412,32675,-32428
682895,4,-26274,-12325,-30918,32412,32675,-32428
682917,4,-12850,-19205,-31610,32412,32675,-32428
682962,4,-1662,-25969,-24570,10451,32675,-32428
683008,4,7906,-12885,-20810,-4072,32675,-32428
683030,4,9294,-8065,-15298,-5068,32675,-28866
683052,4,12546,-6781,-8098,-4444,26110,-26131
683074,4,17126,-8849,-814,-8047,14804,-22104
683097,4,16338,-9085,2794,-14749,3088,-18519
683119,4,11486,-7281,2714,-16066,-3712,-18708
683142,4,14106,-6681,8442,-17329,-10810,-19185
683164,4,18798,-6349,14722,-20228,-25749,-17000
683187,4,14078,-4133,17574,-22691,32676,-11946
683209,4,2882,-2729,17458,-18998,32676,-9163
683254,4,-954,-1589,18202,-21603,32676,-6734
683277,4,-7566,3103,19214,-21470,32676,-1693
683299,4,-11178,3835,11670,-11829,32676,-2046
683322,4,-12570,347,4318,-3817,32676,-7727
683344,4,-17646,2211,-3462,813,32676,-14803
683367,4,-19702,5043,-11858,9193,32676,-18513
683389,4,-23926,-797,-20194,15196,-14482,-21310
683412,4,-27514,-725,-21194,12421,6537,-23596
683435,4,-24478,3351,-16226,9887,15809,-19533
683457,4,-19250,3515,-18798,12056,10213,-12481
683479,4,-23334,595,-26154,13835,12134,-12536
683501,4,-21994,3663,-24086,15730,22669,-12464
683546,4,-12694,3463,-16526,20733,17148,-2837
683591,4,-15362,1799,-11498,25952,22077,-447
683614,4,-8862,-57,-4646,24445,19657,4694
683636,4,-6582,-4681,-4370,17553,7715,10013
683659,4,-10434,-3409,-5534,10527,2912,12169
683681,4,-9902,1223,-4542,11842,3179,15378
683704,4,-8390,671,-4410,17862,2247,18998
683726,4,-9982,-2105,-3994,21055,1463,22418
683749,4,-13054,-3873,-1210,23564,2658,24140
683771,4,-12234,-4489,2734,26545,5150,25366
683794,4,-11678,-8953,2978,25482,3852,28982
683839,4,-18038,-6969,3370,24977,1954,32624
683862,4,-21078,-8449,6702,32412,4284,-32429
683884,4,-21086,-17069,10042,32412,6356,-32429
683906,4,-20014,-21369,9022,28157,3078,-32429
683928,4,-21690,-16093,7090,21809,-1355,-32429
683951,4,-26506,-11905,8034,27278,-535,-32429
683973,4,-27018,-16093,8546,32412,2149,32471
683996,4,-23178,-15465,8906,32412,-1836,27813
684018,4,-26998,-14657,5698,32412,-5683,25785
684041,4,-28242,-17129,4562,32412,-10,23663
684063,4,-24926,-16061,7426,28541,4784,20486
684086,4,-21458,-15229,9010,22270,2148,18680
684108,4,-19742,-14097,7910,18132,-3732,16029
684131,4,-18974,-12053,7326,18471,-5424,11266
684153,4,-18038,-10921,7074,20644,-6004,6107
684176,4,-18738,-10553,5274,19899,-7005,3008
684198,4,-18414,-8869,4318,17814,-5968,915
684221,4,-17394,-7061,4850,15512,-3038,-1300
684243,4,-16138,-6533,6750,11803,-2433,-2331
684266,4,-15318,-4197,5418,9201,-2543,-2862
684289,4,-14978,-3177,6042,6930,-3431,-2786
684311,4,-15650,-2925,3710,5370,-3979,-2689
684333,4,-16918,987,2998,11871,-3490,-1480
684355,4,-16718,-4585,38,20658,-2245,-5442
684378,4,-15434,-3341,3038,12740,-1899,-5309
684423,4,-16662,-2405,3298,6633,-1370,-1303
684445,4,-17674,-2477,2274,3906,-466,-1079
684468,4,-17562,-1333,3030,1993,1313,-1080
684490,4,-15694,-641,4446,1770,1817,-532
684513,4,-16150,-153,3994,1891,404,-50
684535,4,-16742,903,2622,3307,810,-202
684761,4,-16898,-965,4298,5118,2451,-1007
