1317721,3,-22962,-16750,-286,-16409,-3339,-21823
1317743,3,-23702,-15266,702,-9269,-6853,-27859
1317787,3,-32278,-22786,-258,-1967,-13800,-32431
1317810,3,32070,-23630,-406,1222,-12003,-32431
1317832,3,32070,-23922,2818,3448,-9417,-32431
1317855,3,32070,-23334,7478,9063,-10152,-32431
1317877,3,-31994,-26158,10082,14475,-15967,-32431
1317900,3,32698,-24142,9170,13186,-19638,-32431
1317922,3,-31082,-20242,8562,5148,-21280,-32431
1317945,3,-28294,-13310,7658,-1769,-22833,-32431
1317967,3,-26438,-9474,5550,-1711,-23427,-32431
1317990,3,-23862,-6454,2686,-3714,-21110,-32431
1318012,3,-19602,-4014,3594,-8152,-18699,-32431
1318035,3,-14610,-834,2882,-10908,-18125,-32431
1318080,3,-5222,7194,1550,-10302,-13770,-32431
1318103,3,-406,10478,-302,-9618,-13930,-31067
1318125,3,3562,14122,-3034,-12337,-12646,-24128
1318148,3,6450,16826,-6678,-14116,-10739,-18310
1318170,3,7858,17414,-9626,-14943,-7047,-12973
1318193,3,10838,19222,-9230,-13093,-3945,-8241
1318214,3,12174,19446,-9394,-6861,-3231,-3413
1318237,3,12386,14054,-10922,-1842,-1921,507
1318259,3,12578,7870,-10798,-2985,1514,3503
1318282,3,13954,4446,-8650,-6000,2820,6515
1318304,3,13474,1762,-8350,-6387,3518,8185
1318327,3,13206,578,-7542,-7904,5380,10278
1318372,3,11834,-1902,-6578,-24035,6684,20967
1318394,3,11414,1794,-6682,-31531,5741,26550
1318462,3,7306,6666,-6710,-24865,5618,-32432
1318484,3,5074,5462,-6398,-20227,5775,-32432
1318507,3,2062,3494,-5494,-17270,7498,-32432
1318530,3,494,2266,-3854,-16633,8612,-32432
1318552,3,-238,1438,-2862,-16472,5699,-32432
1318575,3,-3502,-474,-2898,-15229,1012,-32432
1318597,3,-6762,-5390,-2366,-13308,-3061,-32432
1318620,3,-9046,-6886,-3270,-9442,-4848,-32432
1318641,3,-9962,-4842,-1602,-1552,-5327,-32432
1318664,3,-14530,-8978,-562,4933,-7206,-32432
1318686,3,-19226,-14242,-2054,3572,-10035,-32432
1318709,3,-19406,-18002,-3834,224,-12173,-32432
1318731,3,-23318,-19774,-6230,-5412,-10272,-32432
1318754,3,-24782,-17022,-4602,-9433,-5190,32384
1318776,3,-23530,-14946,-2794,-5622,-5881,31112
1318799,3,-22706,-17582,-3982,-3790,-11144,30257
1318821,3,-21870,-16966,-6250,-4876,-15647,25595
1318844,3,-21774,-12674,-7322,-2293,-15389,19723
1318866,3,-22406,-11422,-8550,3193,-14341,16657
1318889,3,-21510,-12082,-10062,4317,-12479,14827
1318957,3,-19362,-10366,-8518,2369,-5488,9856
1318979,3,-18126,-8958,-8002,800,-5122,8253
1319002,3,-17926,-7950,-8050,736,-6201,6934
1319024,3,-18354,-8046,-8690,173,-5491,5256
1319047,3,-18150,-7106,-8550,-651,-3807,3459
1319068,3,-17726,-5938,-8014,-332,-1683,1834
1319091,3,-17366,-5146,-7070,672,262,223
1319113,3,-16558,-4406,-5706,1493,1916,-1055
1319136,3,-16226,-3762,-4182,2290,3061,-1900
1319158,3,-15678,-3306,-2702,3149,3556,-2513
1319181,3,-15142,-2914,-1958,3606,3458,-2745
1319203,3,-14754,-2910,-1362,3376,2972,-2610
1319226,3,-14442,-2622,-882,2549,1902,-2297
1319248,3,-14618,-2414,-1030,1252,684,-1608
1319271,3,-14718,-1918,-1518,243,-233,-510
1319293,3,-15010,-2142,-1570,-112,-503,411
1319316,3,-14862,-2690,-2222,-559,-980,792
1319339,3,-15242,-2934,-2430,-869,-1169,819
1319361,3,-15350,-2934,-2622,-943,-1055,564
1319384,3,-15458,-2678,-3182,-794,-926,345
1319406,3,-15674,-2342,-3170,-295,-378,495
1319429,3,-15378,-2678,-2750,68,-379,776
1319451,3,-15466,-3298,-2942,-235,-782,940
1319474,3,-15554,-3494,-3166,-706,-828,893
1319496,3,-15806,-3482,-3306,-645,-339,505
