642683,4,-19770,11462,-3666,32428,8028,-11404
642706,4,-19690,10118,-1378,32428,14130,-13705
642728,4,-15618,3970,7042,32428,16293,-20945
642751,4,-15254,-11242,18862,32428,13544,-29802
642774,4,-10806,-28366,-32202,32428,1420,-32431
642796,4,-10930,-31630,-32167,32428,-13407,-32431
642819,4,-21806,-31630,-32167,32428,-22973,-32431
642841,4,-17250,-21254,-32167,32428,-24823,-32431
642864,4,-8890,-16818,-32167,20495,32677,-32431
642886,4,-16114,-13138,-32167,6404,32677,-32431
642909,4,-24154,-17050,-32167,-9294,32677,-27719
642931,4,-30698,-13046,-32167,-18634,32677,-27444
642954,4,32070,-12986,-32167,-18859,32677,-29598
642999,4,32070,-1410,31102,-24107,32677,-26594
643020,4,32070,8010,23018,-27884,32677,-23974
643043,4,-29062,13906,17450,-31220,32677,-19383
643065,4,-20042,20394,17618,-30986,32677,-11608
643088,4,-16554,16098,15826,-23922,32677,-5337
643110,4,-14290,9218,14190,-17558,32677,-6348
643133,4,-14686,6586,12510,-16576,32677,-7399
643155,4,-13898,7774,14898,-12220,32677,-8076
643178,4,-15638,7550,13650,-2696,32677,-5365
643201,4,-16658,4678,12034,5961,32677,-2563
643223,4,-17218,3822,12122,14139,32677,1517
643246,4,-21426,606,6438,23755,32677,4601
643291,4,-24710,-13990,-19422,25457,32677,-1789
643313,4,-21962,-19206,-29086,18388,-17593,-9293
643336,4,-25114,-19402,-32166,8119,13757,-18872
643358,4,-20562,-13442,-32166,2821,32676,-22014
643381,4,-4670,-10034,-32166,1606,32676,-15227
643403,4,-8770,-14098,-32166,2323,32676,-13490
643425,4,-4962,-16486,-32166,8383,32676,-18921
643447,4,2322,-14958,-28998,11985,32676,-21022
643470,4,7258,-19118,-27678,5427,32676,-19762
643492,4,15046,-13814,-16882,93,30452,-20094
643515,4,17218,-11090,-11078,-2112,14588,-21159
643537,4,17622,-7194,-4542,-6200,-2339,-18561
643582,4,13034,-726,3622,225,-29205,-12260
643605,4,7014,-2706,2278,-3078,32677,-12310
643628,4,6318,3298,9090,-9326,32677,-7566
643650,4,394,13150,10450,-6536,32677,3695
643673,4,-7694,14422,8934,8060,32677,13945
643695,4,-14606,7498,-518,22165,32677,14782
643718,4,-9546,-2926,-2370,24246,32677,11183
