921823,0,-20970,-184,2069,15284,5473,17443
921845,0,-18742,-3176,2345,14458,3336,18865
921868,0,-20626,-4512,1541,12187,278,17926
921890,0,-23030,-3860,45,10166,-1486,15919
921913,0,-24686,-2704,-1595,8990,-1591,15253
922003,0,-17326,-3828,677,15839,1913,11079
922025,0,-17146,-3712,277,17340,921,9689
922048,0,-17062,-3872,-11,17439,864,9045
922071,0,-17358,-4196,-35,16296,1238,8685
922093,0,-17362,-3808,241,14755,1415,8519
922116,0,-17434,-3484,585,13894,1245,8730
922138,0,-18014,-3436,681,13599,637,9145
922161,0,-18426,-4108,581,13384,23,9426
922183,0,-18522,-5044,945,13476,-223,8940
922205,0,-18334,-5824,1353,13813,-870,7598
922227,0,-18902,-6092,1337,13825,-2717,5796
922250,0,-20382,-5612,281,13392,-4637,4322
922272,0,-21286,-5620,-995,12618,-6009,3806
922295,0,-21762,-6276,-1771,10960,-6055,3322
922317,0,-22518,-6900,-2239,8325,-5225,2074
922340,0,-22934,-6600,-2219,5086,-4416,874
922362,0,-23978,-5940,-2407,2787,-3569,195
922385,0,-23226,-6144,-2031,1676,-2862,-418
922407,0,-20430,-7212,-1399,1014,-2664,-1851
922430,0,-18834,-8420,-887,453,-3216,-4560
922452,0,-19214,-8592,-1147,-1524,-3860,-7865
922475,0,-21290,-7556,-1927,-4669,-3751,-10674
922498,0,-23718,-6164,-2371,-7867,-2068,-12634
922520,0,-25074,-5120,-1607,-11099,650,-13983
922543,0,-25210,-4536,1,-14089,2609,-15195
922565,0,-24210,-3724,1301,-15985,3048,-16259
922588,0,-22158,-2944,1921,-16197,1816,-17111
922610,0,-21174,-2488,1717,-15042,89,-18226
922633,0,-20746,-1372,797,-12497,-1013,-19266
922655,0,-20754,-532,33,-9536,-1605,-19785
922677,0,-20626,-44,-1019,-6883,-1177,-19522
922699,0,-19618,708,-1387,-4843,-306,-18992
922722,0,-18350,1272,-1899,-2539,575,-17457
922744,0,-17614,1404,-1911,148,1668,-15810
922767,0,-17026,1684,-1707,2108,2663,-13967
922789,0,-16634,1820,-1271,3120,3417,-11988
922812,0,-17158,2608,-891,3611,4100,-9445
922834,0,-17510,3456,-943,3968,4672,-6048
922880,0,-17590,3808,-203,4357,4003,4075
922902,0,-18782,2420,-647,5027,2846,9028
922925,0,-22654,1612,-1399,5812,2969,12434
922947,0,-25810,1680,-1059,7730,4725,15036
922970,0,-27362,1616,633,10698,7583,17095
922992,0,-23526,-460,2621,13206,8961,19346
923015,0,-20138,-3924,4001,12644,6928,20436
923037,0,-21030,-5988,3025,9082,2906,18516
923060,0,-21646,-4668,1309,6121,-440,15289
923082,0,-23594,-2720,-447,7147,-1623,14287
923105,0,-22526,-2060,-739,8911,-332,13415
923127,0,-21014,-2036,-947,11604,1036,14384
923171,0,-17354,-3940,-107,14174,2875,13286
923194,0,-16858,-3944,-43,14217,3064,12691
923216,0,-17042,-4080,181,13166,3332,12781
923239,0,-17538,-4600,713,11350,3604,13022
923261,0,-18410,-4808,1005,9402,3649,12965
923284,0,-18974,-4816,1381,8240,3090,12743
923307,0,-19518,-5220,1497,8149,2222,12257
923329,0,-19130,-5760,1601,8952,1032,11357
923397,0,-19610,-9008,701,9381,-4266,4550
923419,0,-20506,-8988,-563,6935,-5753,1973
923442,0,-20986,-8732,-1551,4078,-5887,-316
923464,0,-22330,-8016,-1795,1469,-5194,-2770
923487,0,-24518,-6528,-1955,-463,-3683,-5041
