265942,2,-15268,6056,6055,20475,-26885,2957
265964,2,-22192,7068,6543,21014,-22472,4644
265987,2,-27032,8464,6195,16770,-13383,6512
266032,2,-23196,3456,4599,-138,-1234,11311
266054,2,-32240,-7836,-9729,-20755,5554,12928
266076,2,-29980,-8720,-23985,-10720,19876,4305
266098,2,-29200,-8040,-13121,351,19570,-9725
266121,2,-32604,-9512,-10049,-10172,24768,-13032
266143,2,-27972,-13672,15735,-30397,13162,-30181
266166,2,-24380,8648,21587,32266,-16033,-32465
266188,2,31028,11272,16991,-11650,32702,-24579
266211,2,31028,-13148,7407,1843,32708,-24439
266233,2,-29056,-23084,9739,3088,-20445,-32465
266256,2,-17316,-20848,10087,-7616,-10421,-32465
266278,2,-4140,-18832,12563,-19279,-5548,-32465
266323,2,-2068,-20132,11015,-24528,6727,-32465
266345,2,-3392,-16988,12063,-22145,7340,-32465
266368,2,-6436,-8572,9495,-15362,7747,-32465
266390,2,-8124,-6704,7879,-9338,9591,-32465
266413,2,-7600,-10392,11307,-13843,6460,-32465
266435,2,-7552,-10860,12483,-23441,-4314,-32465
266458,2,-11008,-4748,7243,-26905,-14957,-21860
266480,2,-15452,-4320,-2501,-23295,-11690,-13802
266503,2,-17548,-9612,-7049,-17288,-2287,-14986
266525,2,-16608,-12716,-5221,-11546,4257,-22980
266548,2,-15580,-9424,-3941,-6824,2167,-25230
266570,2,-6920,-31997,223,-11246,-6088,-7267
266615,2,-9312,-4992,-8257,-17375,5157,-8854
266638,2,-12912,5152,-4565,7203,13523,-12173
266660,2,-3284,9528,1251,12811,8131,4673
266683,2,-3100,4156,631,23448,-3857,21049
266705,2,-6796,-3996,1099,26631,-11430,27148
266728,2,-8016,-8920,635,18101,-18815,32464
266749,2,-9480,-10776,-249,5805,-24771,-32466
266772,2,-13604,-6896,-4289,-685,-22637,-32466
266795,2,-12952,-5208,-5161,-10,-15309,-32466
266817,2,-12220,-6820,-6037,4084,-7990,-32466
266840,2,-11992,-8092,-3153,7568,-2958,-32466
266862,2,-14300,-9192,-653,9409,-260,-32466
266907,2,-17332,-15996,-889,5509,5660,-32466
266930,2,-18036,-15112,227,5443,7940,31673
266952,2,-14788,-12932,2059,6224,9158,28945
266975,2,-12460,-11064,4987,7381,4099,26363
266997,2,-14276,-8924,5467,11053,-2581,23360
267020,2,-21576,-11900,1255,13543,-4669,21964
267042,2,-20308,-12912,-1021,8658,1160,19355
267065,2,-14032,-9464,1411,3933,4160,14403
267087,2,-12356,-5464,2563,4273,2406,7192
267110,2,-14880,2120,1531,12331,-613,2558
267132,2,-19020,4812,2467,25478,-2247,2969
267155,2,-23080,6900,6151,32265,-5083,3311
267199,2,31028,3716,6731,32265,-13147,19506
267222,2,31028,-4652,8887,32265,-5573,29936
267244,2,-31536,-16304,12015,32265,2230,26314
267267,2,-21212,-21076,9599,21748,2309,13483
267289,2,-19004,-18828,-2745,9727,-1393,-1673
267312,2,-18968,-11380,-10885,-3772,-4628,-9318
267334,2,-23812,-4068,-9117,-16607,83,-12515
267357,2,-23876,3220,-825,-20374,8702,-14879
267379,2,-19452,5804,4223,-17947,9255,-14292
267402,2,-15728,6524,6331,-15972,2990,-10717
267424,2,-15432,6128,4915,-15243,-2120,-5541
267447,2,-15356,5284,3315,-12814,-3252,-1838
267492,2,-14836,5596,715,-68,-2791,-482
267514,2,-15048,3792,923,5745,-3465,172
267537,2,-15404,2164,1179,6481,-3972,1436
267559,2,-16572,1268,1063,4973,-3269,3141
267582,2,-17604,804,1623,3557,-1279,3834
267604,2,-17700,260,2463,3331,847,3798
267626,2,-17816,-396,2643,3192,1722,2995
267649,2,-18020,-880,2023,2412,1221,1868
267671,2,-18140,-744,103,906,504,575
267694,2,-18396,-204,-1501,-937,317,-584
267716,2,-18524,712,-1813,-2695,1616,-1122
267739,2,-17872,1844,-553,-3734,2500,-962
267784,2,-16992,2192,1759,-2027,1783,-244
267806,2,-16580,1896,1967,-900,586,-442
267829,2,-16672,1836,1379,-291,-369,-394
