289340,4,-19326,-7648,6369,9839,-12790,-10253
289362,4,-18110,-8100,8673,25602,-24501,-19516
289385,4,-18382,-10788,13901,25602,-32403,-29214
289406,4,-20654,-16708,14853,25602,-32403,-31957
289429,4,-22594,-18736,6829,25602,-32403,-28201
289452,4,-27886,-21260,-4083,25602,-9761,-14694
289497,4,-21106,-30224,22349,25603,23104,-3607
289519,4,-6390,-10840,31076,25603,13167,-23160
289542,4,-11186,6764,31076,28527,-8986,-32618
289564,4,-14010,9996,16005,25602,-25362,-32738
289587,4,-23318,-4112,9065,25602,-30480,-16510
289609,4,-26030,31900,-7079,14450,-13694,2208
289631,4,-8274,31900,5069,25603,6137,-1480
289653,4,-17406,-22944,20765,25603,11617,-8674
289676,4,-10882,-588,14537,25603,3,-17088
289698,4,-8962,760,4781,8106,-13856,-29041
289743,4,-13178,-28264,-6459,9036,-1810,-5793
289788,4,-8754,-24348,13281,30096,-3888,-32723
289811,4,-9770,-3792,11441,-1644,-17921,-32738
289833,4,-5214,720,11937,25602,-30751,-32738
289856,4,-14886,-12560,-2015,25602,-32403,-20710
289879,4,-21270,31912,-13987,-2945,-13402,2591
289901,4,-950,31900,6689,25603,12181,-8807
289924,4,-1054,-16080,18453,25603,-4923,-32738
289946,4,-4874,7456,5933,4187,-23637,-32738
289968,4,4686,7280,14365,25602,-32403,-32738
289990,4,-4490,-8404,1329,25602,-32403,-16871
290035,4,-4974,31900,-10359,25603,26507,9606
290058,4,3542,-27888,17521,25606,-32255,4
290103,4,3934,11748,3357,25602,-15837,-31069
290125,4,10474,-1072,19721,25602,-32403,-13560
290148,4,1326,31900,-6203,25602,-32403,1930
290170,4,-13514,31900,3289,25603,-3070,5495
290193,4,-350,32500,14085,25603,-32404,-2404
290215,4,3978,18224,-7263,25603,16127,-27104
290238,4,5070,22524,-227,25602,-15439,-23221
290259,4,11502,3604,26757,25602,-32403,-6651
290282,4,-1790,31900,3205,25602,-32403,12665
290327,4,2598,31900,15325,25603,-32404,4713
290350,4,8502,31899,2289,26925,24344,-27510
290372,4,10278,30436,13645,25602,-13973,-8310
290395,4,19102,-8216,31076,25602,-32403,12258
290417,4,-11114,32260,4641,25602,-32403,29105
290440,4,29594,31900,31077,-23744,-32404,682
290462,4,-630,-29432,6873,25603,-32404,-3283
290484,4,13486,21620,6989,28346,3588,-21351
290506,4,13966,21376,9649,25602,-22855,-4425
290529,4,7842,-7124,29301,25602,-32403,16898
290551,4,-19270,31900,-2647,25602,-32403,30474
290574,4,-21106,31900,-20627,-5310,1492,3062
290619,4,11470,28684,8353,-16433,-32404,-10361
290641,4,15686,18636,31076,25602,-32403,14958
290664,4,-14270,-26796,25985,25602,-32403,-32739
290686,4,29594,31900,31077,-4682,-8730,7455
290708,4,-25946,31900,31077,25603,-32404,1282
290731,4,-458,-11384,481,25603,-32404,8713
290753,4,538,11728,-1819,28024,27732,43
290776,4,-4466,3988,-6323,6495,16531,2437
290798,4,-3006,-9112,-3251,20723,9113,6113
290821,4,-6606,-14268,-4967,12966,9564,6565
290843,4,-7738,-16276,-4547,-5695,15377,3810
290866,4,-6498,-10924,-1159,-23025,19341,6384
290911,4,-4466,-4088,2681,-25469,18860,19655
290933,4,-3670,-2696,2437,-17691,14292,24180
290956,4,-2274,-4984,1753,-8438,7113,28617
290978,4,-8114,-11432,-811,-6359,3354,31574
291001,4,-11342,-14684,-1439,-12507,4590,-32739
291023,4,-11778,-13060,-1899,-13978,6662,-32739
291046,4,-14158,-12876,-155,-6753,10662,-32739
291068,4,-18058,-13388,2349,8643,15865,-32739
291091,4,-18374,-14800,6597,25602,18787,-32739
291112,4,-20802,-17616,7809,25602,19470,-32739
291135,4,-24598,-22296,8053,25602,22040,-32739
291158,4,-25422,-26892,8357,19712,23170,-32739
291203,4,-24854,-19548,8053,-3570,15252,-32739
291225,4,-25994,-15648,8677,10231,9302,-32739
291248,4,-27102,-19132,7885,18815,7151,-32739
291270,4,-25090,-23212,6773,15129,2489,-32739
291293,4,-27594,-21020,3845,4466,-286,-32739
291315,4,-28038,-16272,2897,-4678,-2930,-32739
291338,4,-29310,-12408,1445,-8007,-7230,-32739
291359,4,-32562,-10568,-743,-5171,-11477,-32739
291382,4,29594,-6992,-4051,3624,-15270,-32739
291404,4,29594,-13440,-3039,25602,-13112,-32739
291449,4,-31406,-31196,-3959,25602,-497,20395
291494,4,-20278,-18868,-495,11666,3600,-9788
291517,4,-18450,-9788,-635,9347,-2170,-18515
291539,4,-18110,-3016,-1651,9619,-7547,-20103
291562,4,-18014,1620,-1811,13663,-9737,-14888
291585,4,-18914,1724,-2603,18526,-6892,-6843
291607,4,-19134,-1976,-2771,18765,-2294,-1224
291630,4,-19378,-4920,-2431,13348,1558,-631
291652,4,-20418,-5392,-983,5744,4870,-1768
291675,4,-20946,-4808,449,-1140,6922,-3537
