917379,1,-27502,-8623,-8463,-15265,-17,-11955
917401,1,-31226,-7451,-11811,-7129,3981,-20135
917424,1,32142,-8691,-15911,2851,8127,-26463
917446,1,32142,-11455,-19095,7586,14937,-31514
917491,1,32142,-16627,-18863,1837,32678,-32445
917514,1,32142,-20903,-16723,-5989,32678,-32445
917535,1,32142,-19663,-10715,-8239,32678,-32445
917558,1,32142,-21199,-4827,-8316,32678,-32445
917580,1,32142,-25251,-1643,-10789,32678,-32445
917603,1,32142,-28919,1057,-17085,32678,-32445
917625,1,32142,-30247,5053,-26502,32678,-32445
917648,1,32142,-24331,10373,-30605,32678,-32445
917670,1,32142,-20935,13625,-30615,32678,-32445
917693,1,32142,-16507,15861,-30965,32678,-32445
917715,1,-31106,-11775,15821,32442,32678,-32445
917738,1,-30014,-7779,15241,32442,32678,-32445
917782,1,-27682,3309,18829,-29573,32678,-32445
917805,1,-23690,5721,22425,-21135,32678,-32445
917827,1,-17822,6077,26165,-10420,32678,-30110
917850,1,-12230,5021,30777,-2402,32678,-31439
917872,1,-8142,6673,-32556,-335,30011,-31885
917895,1,-8786,10065,31669,-5550,18104,-27303
917917,1,-9610,15021,29933,-6875,11821,-18845
917940,1,-8850,18381,28965,-1856,8191,-10794
917962,1,-7606,18721,27933,4636,5617,-4321
917985,1,-7106,17693,24801,7046,5805,1208
918006,1,-6370,16657,23417,5816,7759,6512
918029,1,-5586,16777,25425,3553,9554,10519
918074,1,-4758,18285,28237,4791,9063,21158
918096,1,-6222,16453,30153,9719,7441,28935
918119,1,-7494,15413,-32556,15588,5541,31626
918141,1,-6026,13409,-32556,14069,-721,31563
918164,1,-5174,15873,-32556,2325,-13969,-32446
918187,1,-6838,20465,-32556,-5326,-32356,-32446
918209,1,-11558,18777,-32556,-980,32679,-32446
918232,1,-16830,9725,30921,5994,32679,-32446
918253,1,-28438,4145,28165,5721,32679,-32446
918276,1,32142,3613,27529,-8170,32679,-32446
918321,1,32142,20553,185,32442,32679,-32446
918343,1,32142,12737,-24519,-22626,32679,-32446
918366,1,32142,-1311,-32555,-10039,32679,-32446
918388,1,-22178,-13047,-32555,11050,-15545,17419
918411,1,-6014,-16843,-18243,16466,11188,-5870
918433,1,-5206,-14415,-7395,11153,17850,-19718
918456,1,-7630,-5295,-5707,752,6957,-24715
918478,1,-7990,921,-3915,-5039,-5247,-20589
918501,1,-10834,2517,-1487,-5693,-9691,-15241
918523,1,-9498,2221,-815,-7328,-11599,-13840
918546,1,-8162,2729,-815,-6853,-21595,-10206
918567,1,-11714,2297,-1467,-2878,-29034,-5812
918612,1,-14202,-39,-4879,5244,32679,-3498
918635,1,-16626,-231,-7219,9726,32679,-715
918658,1,-18062,-2147,-9347,18034,32679,1434
918680,1,-18402,-5795,-10987,23587,-25588,1653
918703,1,-19530,-7183,-12615,25472,-24867,4514
918725,1,-21126,-9367,-12539,29605,-22645,10988
918748,1,-20926,-12483,-11643,32441,-16481,13665
918770,1,-23838,-16767,-12159,32196,-11670,16525
918793,1,-22146,-19043,-10799,27495,-7812,20934
918815,1,-20546,-16383,-7039,28466,-4336,20348
918838,1,-20766,-14571,-3747,32316,-2456,20317
918860,1,-22082,-16683,-2479,30762,-5424,23519
918904,1,-26758,-13423,-2287,22294,-8236,25012
918927,1,-27182,-12163,365,24871,-4676,22183
918949,1,-25754,-11443,3097,26873,-2686,19249
918972,1,-23886,-10839,4433,26287,-4953,17718
918994,1,-23910,-10983,3529,24285,-8471,15971
919017,1,-22954,-10811,2929,22631,-10678,13780
919040,1,-22354,-11491,1193,20640,-11836,10430
